127.0.0.1 - - [14/Mar/2025:20:00:55 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:00:56 +0530] "GET /MegaCityCabs/ HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:00:56 +0530] "GET /MegaCityCabs/customer/home.jsp HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:00:56 +0530] "GET /MegaCityCabs/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:00:56 +0530] "GET /MegaCityCabs/images/vehicles_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:00:56 +0530] "GET /MegaCityCabs/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:00:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:01:08 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:01:12 +0530] "GET /MegaCityCabs/customer/customer/help.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:01:17 +0530] "GET /MegaCityCabs/customer/my_bookings.html HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:01:35 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:01:41 +0530] "GET /MegaCityCabs/customer/my_bookings.html HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:01:53 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:02:02 +0530] "GET /MegaCityCabs/customer/my_bookings.html HTTP/1.1" 404 798
